GenderCode,Age,Tenure,Target_Performance,RaceDesc_Black,RaceDesc_Hispanic,RaceDesc_Other,RaceDesc_White,DepartmentType_Executive Office,DepartmentType_IT/IS,DepartmentType_Production       ,DepartmentType_Sales,DepartmentType_Software Engineering,PayZone_Zone B,PayZone_Zone C
1,56,2418,2,0,0,0,1,0,0,1,0,0,0,1
0,60,1178,2,0,1,0,0,0,0,1,0,0,0,0
0,34,2702,2,0,1,0,0,0,0,0,1,0,1,0
0,28,1778,2,0,0,1,0,0,0,0,1,0,0,0
1,56,2501,2,0,0,1,0,0,0,0,1,0,0,0
0,77,2299,2,1,0,0,0,0,0,0,1,0,1,0
1,83,453,3,0,1,0,0,0,0,0,1,0,1,0
1,69,814,2,0,0,0,1,0,0,0,1,0,0,1
0,52,2816,3,1,0,0,0,0,0,0,1,0,1,0
0,76,524,2,0,0,0,0,0,0,0,1,0,1,0
1,62,1004,2,0,0,1,0,0,0,0,1,0,1,0
1,78,451,2,0,0,0,0,0,0,0,1,0,0,1
0,44,186,2,0,0,1,0,0,0,0,1,0,0,0
1,74,1170,2,0,0,0,1,0,0,0,1,0,0,0
0,36,2563,3,0,0,0,0,0,0,0,1,0,0,0
0,73,1073,3,1,0,0,0,0,1,0,0,0,0,0
0,32,767,2,0,0,0,0,0,1,0,0,0,0,1
0,42,68,2,0,0,1,0,0,0,0,1,0,0,0
1,40,1934,3,0,0,1,0,0,0,0,1,0,0,1
1,30,1714,3,0,0,0,1,0,0,0,1,0,0,0
1,62,1118,2,0,0,0,0,0,0,0,1,0,0,1
0,68,402,2,0,0,0,0,0,0,0,1,0,0,0
0,33,17,2,1,0,0,0,0,0,0,1,0,1,0
0,31,824,3,0,0,1,0,0,0,0,1,0,0,1
0,58,631,3,0,0,1,0,0,0,0,1,0,0,1
0,79,1273,2,1,0,0,0,0,0,0,1,0,0,0
0,44,1299,2,0,0,0,1,0,0,0,1,0,0,1
0,56,1331,1,0,1,0,0,0,1,0,0,0,0,1
0,27,371,3,0,0,1,0,0,0,0,1,0,0,1
1,79,1155,2,1,0,0,0,0,0,0,1,0,0,0
1,78,2047,1,0,0,0,1,0,0,0,1,0,1,0
1,29,391,1,0,1,0,0,0,0,0,1,0,0,0
0,82,429,3,1,0,0,0,0,0,0,1,0,0,0
0,82,2266,2,0,0,0,0,0,0,0,1,0,0,0
0,28,806,1,0,1,0,0,0,0,0,1,0,0,1
0,83,1100,1,0,1,0,0,0,0,0,1,0,0,0
0,74,444,2,0,1,0,0,0,0,0,1,0,0,0
0,27,1376,1,1,0,0,0,0,0,0,1,0,1,0
0,64,1638,1,0,0,0,0,0,0,0,1,0,1,0
0,47,362,3,0,0,1,0,0,1,0,0,0,0,1
1,39,2189,3,0,0,0,0,0,0,0,1,0,0,0
1,28,2429,2,1,0,0,0,0,0,0,1,0,1,0
1,81,890,1,0,0,0,0,0,0,0,1,0,1,0
1,28,348,1,1,0,0,0,0,0,0,1,0,0,1
0,59,2256,2,0,0,0,0,0,0,0,1,0,0,1
0,44,1205,3,0,0,1,0,0,0,0,1,0,0,1
0,75,1040,3,0,1,0,0,0,0,0,1,0,0,0
0,60,2247,2,0,0,1,0,0,0,0,1,0,0,0
0,68,569,2,0,0,0,0,0,0,0,1,0,0,1
0,80,24,1,0,0,0,0,0,0,0,1,0,0,0
1,56,2584,1,0,0,0,0,0,1,0,0,0,0,0
1,68,114,2,0,1,0,0,0,0,0,1,0,0,1
1,64,243,2,0,1,0,0,0,0,0,1,0,0,0
1,79,38,2,1,0,0,0,0,0,0,1,0,0,1
0,60,816,2,0,0,1,0,0,0,0,1,0,0,1
0,36,467,1,0,0,0,0,0,0,0,1,0,0,0
0,61,1681,2,0,0,0,0,0,0,0,1,0,1,0
0,30,2805,2,0,0,1,0,0,0,0,1,0,1,0
0,31,1651,2,0,0,0,1,0,0,0,1,0,0,1
0,35,220,2,0,0,1,0,0,0,0,1,0,0,1
1,32,1146,2,0,0,1,0,0,0,0,1,0,1,0
1,28,1333,2,0,0,0,0,0,0,0,1,0,1,0
1,73,1522,2,1,0,0,0,0,0,0,1,0,0,0
1,34,2639,2,0,1,0,0,0,0,0,1,0,0,0
0,52,1924,2,0,0,0,1,0,0,0,1,0,1,0
0,33,2351,2,0,0,0,0,0,0,0,1,0,0,1
